,standard,forecast,지역,예보,강수확률(%),popul
0,2018-12-24,2018-12-27,서울.인천.경기,구름조금,0.0,25925799
1,2018-12-24,2018-12-27,충청북도,구름조금,0.0,1600007
2,2018-12-24,2018-12-27,충청남도,구름많음,0.0,2123709
3,2018-12-24,2018-12-27,강원영서,구름조금,0.0,770751
4,2018-12-24,2018-12-27,강원영동,구름조금,0.0,770751
5,2018-12-24,2018-12-27,전라북도,구름많음,0.0,1818917
6,2018-12-24,2018-12-27,전라남도,구름많음,0.0,1868745
7,2018-12-24,2018-12-27,경상북도,구름조금,0.0,2665836
8,2018-12-24,2018-12-27,경상남도,구름조금,0.0,3362553
9,2018-12-25,2018-12-28,서울.인천.경기,구름조금,0.0,25925799
10,2018-12-25,2018-12-28,충청북도,구름조금,0.0,1600007
11,2018-12-25,2018-12-28,충청남도,구름많음,0.0,2123709
12,2018-12-25,2018-12-28,강원영서,구름조금,0.0,770751
13,2018-12-25,2018-12-28,강원영동,구름조금,0.0,770751
14,2018-12-25,2018-12-28,전라북도,구름많고 눈,0.0,1818917
15,2018-12-25,2018-12-28,전라남도,구름많고 눈,0.0,1868745
16,2018-12-25,2018-12-28,경상북도,맑음,0.0,2665836
17,2018-12-25,2018-12-28,경상남도,맑음,0.0,3362553
18,2018-12-26,2018-12-29,서울.인천.경기,맑음,0.0,25925799
19,2018-12-26,2018-12-29,충청북도,맑음,0.0,1600007
20,2018-12-26,2018-12-29,충청남도,구름조금,0.0,2123709
21,2018-12-26,2018-12-29,강원영서,맑음,0.0,770751
22,2018-12-26,2018-12-29,강원영동,맑음,0.0,770751
23,2018-12-26,2018-12-29,전라북도,구름많음,0.0,1818917
24,2018-12-26,2018-12-29,전라남도,구름많음,0.0,1868745
25,2018-12-26,2018-12-29,경상북도,맑음,0.0,2665836
26,2018-12-26,2018-12-29,경상남도,맑음,0.0,3362553
27,2018-12-27,2018-12-30,서울.인천.경기,구름조금,0.0,25925799
28,2018-12-27,2018-12-30,충청북도,구름조금,0.0,1600007
29,2018-12-27,2018-12-30,충청남도,구름조금,0.0,2123709
30,2018-12-27,2018-12-30,강원영서,구름조금,0.0,770751
31,2018-12-27,2018-12-30,강원영동,구름조금,0.0,770751
32,2018-12-27,2018-12-30,전라북도,구름조금,0.0,1818917
33,2018-12-27,2018-12-30,전라남도,구름조금,0.0,1868745
34,2018-12-27,2018-12-30,경상북도,구름조금,0.0,2665836
35,2018-12-27,2018-12-30,경상남도,구름조금,0.0,3362553
36,2018-12-28,2018-12-31,서울.인천.경기,구름조금,0.0,25925799
37,2018-12-28,2018-12-31,충청북도,구름조금,0.0,1600007
38,2018-12-28,2018-12-31,충청남도,구름조금,0.0,2123709
39,2018-12-28,2018-12-31,강원영서,구름조금,0.0,770751
40,2018-12-28,2018-12-31,강원영동,구름조금,0.0,770751
41,2018-12-28,2018-12-31,전라북도,구름조금,0.0,1818917
42,2018-12-28,2018-12-31,전라남도,구름조금,0.0,1868745
43,2018-12-28,2018-12-31,경상북도,구름조금,0.0,2665836
44,2018-12-28,2018-12-31,경상남도,구름조금,0.0,3362553
45,2018-12-29,2019-01-01,서울.인천.경기,구름많음,0.0,25925799
46,2018-12-29,2019-01-01,충청북도,구름많음,0.0,1600007
47,2018-12-29,2019-01-01,충청남도,구름많음,0.0,2123709
48,2018-12-29,2019-01-01,강원영서,구름조금,0.0,770751
49,2018-12-29,2019-01-01,강원영동,구름조금,0.0,770751
50,2018-12-29,2019-01-01,전라북도,구름많음,0.0,1818917
51,2018-12-29,2019-01-01,전라남도,구름많음,0.0,1868745
52,2018-12-29,2019-01-01,경상북도,구름조금,0.0,2665836
53,2018-12-29,2019-01-01,경상남도,구름많음,0.0,3362553
54,2018-12-30,2019-01-02,서울.인천.경기,구름조금,0.0,25925799
55,2018-12-30,2019-01-02,충청북도,구름조금,0.0,1600007
56,2018-12-30,2019-01-02,충청남도,구름많음,0.0,2123709
57,2018-12-30,2019-01-02,강원영서,구름조금,0.0,770751
58,2018-12-30,2019-01-02,강원영동,구름조금,0.0,770751
59,2018-12-30,2019-01-02,전라북도,구름조금,0.0,1818917
60,2018-12-30,2019-01-02,전라남도,구름조금,0.0,1868745
61,2018-12-30,2019-01-02,경상북도,구름조금,0.0,2665836
62,2018-12-30,2019-01-02,경상남도,구름조금,0.0,3362553
63,2018-12-31,2019-01-03,서울.인천.경기,맑음,0.0,25925799
64,2018-12-31,2019-01-03,충청북도,구름조금,0.0,1600007
65,2018-12-31,2019-01-03,충청남도,구름조금,0.0,2123709
66,2018-12-31,2019-01-03,강원영서,맑음,0.0,770751
67,2018-12-31,2019-01-03,강원영동,맑음,0.0,770751
68,2018-12-31,2019-01-03,전라북도,구름조금,0.0,1818917
69,2018-12-31,2019-01-03,전라남도,구름조금,0.0,1868745
70,2018-12-31,2019-01-03,경상북도,구름조금,0.0,2665836
71,2018-12-31,2019-01-03,경상남도,구름조금,0.0,3362553
72,2019-01-01,2019-01-04,서울.인천.경기,구름조금,0.0,25925799
73,2019-01-01,2019-01-04,충청북도,구름조금,0.0,1600007
74,2019-01-01,2019-01-04,충청남도,구름조금,0.0,2123709
