,방송일시,노출(분),마더코드,상품코드,상품명,상품군,판매단가,취급액
0,1590992400000,20,100650,201971,잭필드 남성  반팔셔츠 4종,의류," 59,800 ",20603120.0
1,1590993600000,20,100650,201971,잭필드 남성  반팔셔츠 4종,의류," 59,800 ",20603120.0
2,1590994800000,20,100650,201971,잭필드 남성  반팔셔츠 4종,의류," 59,800 ",22147480.0
3,1590996000000,20,100445,202278,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,속옷," 69,900 ",23482258.0
4,1590997200000,20,100445,202278,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,속옷," 69,900 ",23482258.0
5,1590998400000,20,100445,202278,쿠미투니카 쿨 레이시 란쥬쉐이퍼&팬티,속옷," 69,900 ",26115610.0
6,1590999600000,20,100381,201247,바비리스 퍼펙트 볼륨스타일러,이미용," 59,000 ",24300414.0
7,1591000800000,20,100381,201247,바비리스 퍼펙트 볼륨스타일러,이미용," 59,000 ",24300414.0
8,1591002000000,20,100381,201247,바비리스 퍼펙트 볼륨스타일러,이미용," 59,000 ",28212408.0
9,1591003200000,20,100638,201956,램프쿡 자동회전냄비,주방," 109,000 ",21179840.0
10,1591004400000,20,100638,201956,램프쿡 자동회전냄비,주방," 109,000 ",21179840.0
11,1591005600000,20,100638,201956,램프쿡 자동회전냄비,주방," 109,000 ",23272222.0
12,1591006800000,20,100348,201091,벨레즈온 심리스 원피스 4종 패키지,속옷," 59,900 ",31041136.0
13,1591008000000,20,100348,201091,벨레즈온 심리스 원피스 4종 패키지,속옷," 59,900 ",31041136.0
14,1591009200000,20,100348,201091,벨레즈온 심리스 원피스 4종 패키지,속옷," 59,900 ",32085902.0
15,1591010400000,20,100012,200016,AAC 삼채포기김치 10kg,농수축," 40,900 ",33754164.0
16,1591011600000,20,100012,200016,AAC 삼채포기김치 10kg,농수축," 40,900 ",33754164.0
17,1591012800000,20,100012,200016,AAC 삼채포기김치 10kg,농수축," 40,900 ",34194070.0
18,1591014000000,20,100080,200217,아키 라이크라 릴렉스 보정브라 패키지(뉴아키28차),속옷," 99,900 ",26284354.0
19,1591015200000,20,100080,200217,아키 라이크라 릴렉스 보정브라 패키지(뉴아키28차),속옷," 99,900 ",26284354.0
20,1591016400000,20,100080,200217,아키 라이크라 릴렉스 보정브라 패키지(뉴아키28차),속옷," 99,900 ",26212282.0
21,1591017600000,20,100570,201673,KT휴대폰_삼성갤럭시 노트10,무형, - ,0.0
22,1591017600000,20,100570,201671,(특)KT휴대폰_삼성갤럭시 A31,무형, - ,0.0
23,1591018800000,20,100570,201673,KT휴대폰_삼성갤럭시 노트10,무형, - ,0.0
24,1591018800000,20,100570,201671,(특)KT휴대폰_삼성갤럭시 A31,무형, - ,0.0
25,1591020000000,20,100570,201673,KT휴대폰_삼성갤럭시 노트10,무형, - ,0.0
26,1591020000000,20,100570,201671,(특)KT휴대폰_삼성갤럭시 A31,무형, - ,0.0
27,1591021200000,60,100554,201641,DB손해보험 참좋은운전자보험(1912),무형, - ,0.0
28,1591024800000,20,100362,201150,에이유플러스 슈퍼선스틱 1004(최저가),이미용," 39,900 ",36865940.0
29,1591026000000,20,100362,201150,에이유플러스 슈퍼선스틱 1004(최저가),이미용," 39,900 ",36865940.0
30,1591027200000,20,100362,201150,에이유플러스 슈퍼선스틱 1004(최저가),이미용," 39,900 ",40399070.0
31,1591028400000,20,100537,201616,[기간]제주바다자연산돔39마리,농수축," 39,900 ",40399070.0
32,1591029600000,20,100537,201616,[기간]제주바다자연산돔39마리,농수축," 39,900 ",40399070.0
33,1591030800000,20,100537,201616,[기간]제주바다자연산돔39마리,농수축," 39,900 ",43952908.0
34,1591032000000,20,100383,201251,한라궁 황칠 제주오메기떡 40개 (60g * 40봉),농수축," 29,900 ",41595436.0
35,1591032000000,20,100383,201250,한라궁 황칠 제주오메기떡 2종 40개 (호박오메기20봉+팥오메기20봉),농수축," 29,900 ",41595436.0
36,1591033200000,20,100383,201251,한라궁 황칠 제주오메기떡 40개 (60g * 40봉),농수축," 29,900 ",41595436.0
37,1591033200000,20,100383,201250,한라궁 황칠 제주오메기떡 2종 40개 (호박오메기20봉+팥오메기20봉),농수축," 29,900 ",41595430.0
38,1591034400000,20,100383,201251,한라궁 황칠 제주오메기떡 40개 (60g * 40봉),농수축," 29,900 ",44810852.0
39,1591034400000,20,100383,201250,한라궁 황칠 제주오메기떡 2종 40개 (호박오메기20봉+팥오메기20봉),농수축," 29,900 ",44810850.0
40,1591035600000,20,100150,200424,LG전자 통돌이 세탁기 TR14WK1(화이트),가전," 499,900 ",22303956.0
41,1591036800000,20,100150,200424,LG전자 통돌이 세탁기 TR14WK1(화이트),가전," 499,900 ",22303956.0
42,1591038000000,20,100150,200424,LG전자 통돌이 세탁기 TR14WK1(화이트),가전," 499,900 ",22694104.0
43,1591039200000,20,100416,201319,코몽트 남성 티셔츠 8종(시즌1),의류," 39,900 ",44964652.0
44,1591040400000,20,100416,201319,코몽트 남성 티셔츠 8종(시즌1),의류," 39,900 ",44964652.0
45,1591041600000,20,100416,201319,코몽트 남성 티셔츠 8종(시즌1),의류," 39,900 ",42883280.0
46,1591042800000,20,100501,201520,파격가 노비타 스마트 비데 무료설치(변기세정제),생활용품," 189,000 ",18402850.0
47,1591044000000,20,100501,201520,파격가 노비타 스마트 비데 무료설치(변기세정제),생활용품," 189,000 ",18402850.0
48,1591045200000,20,100501,201520,파격가 노비타 스마트 비데 무료설치(변기세정제),생활용품," 189,000 ",17913954.0
49,1591046400000,20,100148,200416,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 55형 55UN7850KNA,가전," 1,340,000 ",20039992.0
50,1591046400000,20,100148,200419,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 65형 65UN7850KNA,가전," 1,740,000 ",23302894.0
51,1591046400000,20,100148,200422,LG 울트라HD TV AI ThinQ(인공지능 씽큐) 75형 75UN7850KNA,가전," 2,490,000 ",29656218.0
